Row_ID_O6G3A1_R6|Order_ID|Order_Date|Ship_Date|Ship_Mode|Customer_ID|Customer_Name|Segment|Country|City|State|Region|Product_ID|Category|Sub_Category|Product_Name|Sales|Quantity|Profit|Returns|Payment_Mode|ind1|ind2
1|CA-2019-152156|2019-11-08|2019-11-11|Second Class|CG-12520|Claire Gute|Consumer|United States|Henderson|Kentucky|South|FUR-BO-10001798|Furniture|Bookcases|Bush Somerset Collection Bookcase|261.9599914550781|2|41.91360092163086|#N/A|Cards||
1|CA-2019-152157|2019-11-08|2019-11-11|Second Class|CG-12520|Claire Gute|Consumer|United States|Henderson|Kentucky|South|FUR-CH-10000454|Furniture|Chairs|Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back|731.9400024414062|3|219.58200073242188|#N/A|Cards||
3|CA-2019-138688|2019-06-12|2019-06-16|Second Class|DV-13045|Darrin Van Huff|Corporate|United States|Los Angeles|California|West|OFF-LA-10000240|Office Supplies|Labels|Self-Adhesive Address Labels for Typewriters by Universal|14.619999885559082|2|6.871399879455566|#N/A|Online||
13|CA-2020-114412|2020-04-15|2020-04-20|Standard Class|AA-10480|Andrew Allen|Consumer|United States|Concord|North Carolina|South|OFF-PA-10002365|Office Supplies|Paper|Xerox 1967|114.552001953125|3|5.44320011138916|#N/A|Online||
14|CA-2019-161389|2019-12-05|2019-12-10|Standard Class|IM-15070|Irene Maddox|Consumer|United States|Seattle|Washington|West|OFF-BI-10003656|Office Supplies|Binders|Fellowes PB200 Plastic Comb Binding Machine|407.97601318359375|3|132.59219360351562|#N/A|Online||
22|CA-2019-137330|2019-12-09|2019-12-13|Standard Class|KB-16585|Ken Black|Corporate|United States|Fremont|Nebraska|Central|OFF-AR-10000246|Office Supplies|Art|Newell 318|19.459999084472656|7|5.059599876403809|#N/A|Online||
23|CA-2019-137330|2019-12-09|2019-12-13|Standard Class|KB-16585|Ken Black|Corporate|United States|Fremont|Nebraska|Central|OFF-AP-10001492|Office Supplies|Appliances|Acco Six-Outlet Power Strip, 4' Cord Length|60.34000015258789|7|15.688400268554688|#N/A|Online||
24|US-2020-156909|2020-07-16|2020-07-18|Second Class|SF-20065|Sandra Flanagan|Consumer|United States|Philadelphia|Pennsylvania|East|FUR-CH-10002774|Furniture|Chairs|Global Deluxe Stacking Chair, Gray|114.37200164794922|2|-1.0196000337600708|#N/A|COD||
26|CA-2019-121755|2019-01-16|2019-01-20|Second Class|EH-13945|Eric Hoffmann|Consumer|United States|Los Angeles|California|West|OFF-BI-10001634|Office Supplies|Binders|Wilson Jones Active Use Binders|11.64799976348877|2|4.222400188446045|#N/A|Cards||
27|CA-2019-121755|2019-01-16|2019-01-20|Second Class|EH-13945|Eric Hoffmann|Consumer|United States|Los Angeles|California|West|TEC-AC-10003027|Technology|Accessories|Imation 8GB Mini TravelDrive USB 2.0 Flash Drive|90.56999969482422|3|11.774100303649902|#N/A|COD||
35|CA-2020-107727|2020-10-19|2020-10-23|Second Class|MA-17560|Matt Abelman|Home Office|United States|Houston|Texas|Central|OFF-PA-10000249|Office Supplies|Paper|Easy-staple paper|159.4720001220703|3|9.946800231933594|#N/A|COD||
36|CA-2019-117590|2019-12-08|2019-12-10|First Class|GH-14485|Gene Hale|Corporate|United States|Richardson|Texas|Central|TEC-PH-10004977|Technology|Phones|GE 30524EE4|97.54399871826172|7|123.47370147705078|#N/A|Online||
37|CA-2019-117590|2019-12-08|2019-12-10|First Class|GH-14485|Gene Hale|Corporate|United States|Richardson|Texas|Central|FUR-FU-10003664|Furniture|Furnishings|Electrix Architect's Clamp-On Swing Arm Lamp, Black|190.9199981689453|5|-147.96299743652344|#N/A|COD||
42|CA-2020-120999|2020-09-10|2020-09-15|Standard Class|LC-16930|Linda Cazamias|Corporate|United States|Naperville|Illinois|Central|TEC-PH-10004093|Technology|Phones|Panasonic Kx-TS550|183.16799926757812|4|16.556400299072266|#N/A|COD||
43|CA-2019-101343|2019-07-17|2019-07-22|Standard Class|RA-19885|Ruben Ausman|Corporate|United States|Los Angeles|California|West|OFF-ST-10003479|Office Supplies|Storage|Eldon Base for stackable storage shelf, platinum|77.87999725341797|2|3.8940000534057617|#N/A|COD||
44|CA-2020-139619|2020-09-19|2020-09-23|Standard Class|ES-14080|Erin Smith|Corporate|United States|Melbourne|Florida|South|OFF-ST-10003282|Office Supplies|Storage|Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers|123.61599731445312|2|9.561599731445312|#N/A|Cards||
45|CA-2019-118255|2019-03-11|2019-03-13|First Class|ON-18715|Odella Nelson|Corporate|United States|Eagan|Minnesota|Central|TEC-AC-10000171|Technology|Accessories|Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack|45.97999954223633|2|19.771400451660156|#N/A|COD||
46|CA-2019-118255|2019-03-11|2019-03-13|First Class|ON-18715|Odella Nelson|Corporate|United States|Eagan|Minnesota|Central|OFF-BI-10003291|Office Supplies|Binders|Wilson Jones Leather-Like Binders with DublLock Round Rings|17.459999084472656|2|8.206199645996094|#N/A|Online||
48|CA-2019-169194|2019-06-20|2019-06-25|Standard Class|LH-16900|Lena Hernandez|Consumer|United States|Dover|Delaware|East|TEC-AC-10002167|Technology|Accessories|Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive|45.0|3|4.949999809265137|#N/A|Online||
49|CA-2019-169194|2019-06-20|2019-06-25|Standard Class|LH-16900|Lena Hernandez|Consumer|United States|Dover|Delaware|East|TEC-PH-10003988|Technology|Phones|LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite|21.799999237060547|2|6.104000091552734|#N/A|Online||
54|CA-2019-105816|2019-12-11|2019-12-17|Standard Class|JM-15265|Janet Molinari|Corporate|United States|New York City|New York|East|OFF-FA-10000304|Office Supplies|Fasteners|Advantus Push Pins|15.260000228881836|7|6.2565999031066895|#N/A|COD||
55|CA-2019-105816|2019-12-11|2019-12-17|Standard Class|JM-15265|Janet Molinari|Corporate|United States|New York City|New York|East|TEC-PH-10002447|Technology|Phones|AT&T CL83451 4-Handset Telephone|1029.949951171875|5|298.68548583984375|#N/A|Cards||
56|CA-2019-111682|2019-06-17|2019-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|East|OFF-ST-10000604|Office Supplies|Storage|Home/Office Personal File Carts|208.55999755859375|6|52.13999938964844|#N/A|Cards||
57|CA-2019-111682|2019-06-17|2019-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|East|OFF-PA-10001569|Office Supplies|Paper|Xerox 232|32.400001525878906|5|15.552000045776367|#N/A|Online||
58|CA-2019-111682|2019-06-17|2019-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|East|FUR-CH-10003968|Furniture|Chairs|Novimex Turbo Task Chair|319.4100036621094|5|7.0980000495910645|#N/A|Online||
59|CA-2019-111682|2019-06-17|2019-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|East|OFF-PA-10000587|Office Supplies|Paper|Array Parchment Paper, Assorted Colors|14.5600004196167|2|6.988800048828125|#N/A|Cards||
60|CA-2019-111682|2019-06-17|2019-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|East|TEC-AC-10002167|Technology|Accessories|Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive|30.0|2|3.299999952316284|#N/A|Online||
61|CA-2019-111682|2019-06-17|2019-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|East|OFF-BI-10001460|Office Supplies|Binders|Plastic Binding Combs|48.47999954223633|4|16.36199951171875|#N/A|COD||
62|CA-2019-111682|2019-06-17|2019-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|East|OFF-AR-10001868|Office Supplies|Art|Prang Dustless Chalk Sticks|1.6799999475479126|1|0.8399999737739563|#N/A|Online||
70|CA-2019-119823|2019-06-04|2019-06-06|First Class|KD-16270|Karen Daniels|Consumer|United States|Springfield|Virginia|South|OFF-PA-10000482|Office Supplies|Paper|Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate|75.87999725341797|2|35.66360092163086|#N/A|COD||
71|CA-2019-106075|2019-09-18|2019-09-23|Standard Class|HM-14980|Henry MacAllister|Consumer|United States|New York City|New York|East|OFF-BI-10004654|Office Supplies|Binders|Avery Binding System Hidden Tab Executive Style Index Sets|4.616000175476074|1|1.7309999465942383|#N/A|Online||
72|CA-2020-114440|2020-09-14|2020-09-17|Second Class|TB-21520|Tracy Blumstein|Consumer|United States|Jackson|Michigan|Central|OFF-PA-10004675|Office Supplies|Paper|"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""|145.0500030517578|3|8.762999534606934|#N/A|Online||
76|US-2020-118038|2020-12-09|2020-12-11|First Class|KB-16600|Ken Brennan|Corporate|United States|Houston|Texas|Central|OFF-BI-10004182|Office Supplies|Binders|Economy Binders|98.24800109863281|3|-1.934399962425232|#N/A|Cards||
77|US-2020-118038|2020-12-09|2020-12-11|First Class|KB-16600|Ken Brennan|Corporate|United States|Houston|Texas|Central|FUR-FU-10000260|Furniture|Furnishings|"6"" Cubicle Wall Clock, Black"|826.7080078125|3|-5.82480001449585|#N/A|COD||
78|US-2020-118038|2020-12-09|2020-12-11|First Class|KB-16600|Ken Brennan|Corporate|United States|Houston|Texas|Central|OFF-ST-10000615|Office Supplies|Storage|SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h|121.23999786376953|3|2.7239999771118164|#N/A|Cards||
80|CA-2019-127208|2019-06-12|2019-06-15|First Class|SC-20770|Stewart Carmichael|Corporate|United States|Decatur|Alabama|South|OFF-AP-10002118|Office Supplies|Appliances|"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"|208.16000366210938|1|56.20320129394531|#N/A|Online||
81|CA-2019-127208|2019-06-12|2019-06-15|First Class|SC-20770|Stewart Carmichael|Corporate|United States|Decatur|Alabama|South|OFF-BI-10002309|Office Supplies|Binders|Avery Heavy-Duty EZD  Binder With Locking Rings|16.739999771118164|3|8.035200119018555|#N/A|Online||
85|US-2020-119662|2020-11-13|2020-11-16|First Class|CS-12400|Christopher Schild|Home Office|United States|Chicago|Illinois|Central|OFF-ST-10003656|Office Supplies|Storage|Safco Industrial Wire Shelving|265.3760070800781|3|-48.954898834228516|#N/A|Cards||
86|CA-2020-140088|2020-05-28|2020-05-30|Second Class|PO-18865|Patrick O'Donnell|Consumer|United States|Columbia|South Carolina|South|FUR-CH-10000863|Furniture|Chairs|Novimex Swivel Fabric Task Chair|323.9599914550781|2|33.215599060058594|#N/A|Online||
87|CA-2020-155558|2020-10-26|2020-11-02|Standard Class|PG-18895|Paul Gonzalez|Consumer|United States|Rochester|Minnesota|Central|TEC-AC-10001998|Technology|Accessories|Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired|95.98999786376953|1|6.796599864959717|#N/A|Cards||
88|CA-2020-155558|2020-10-26|2020-11-02|Standard Class|PG-18895|Paul Gonzalez|Consumer|United States|Rochester|Minnesota|Central|OFF-LA-10000134|Office Supplies|Labels|Avery 511|86.16000366210938|2|2.9567999839782715|#N/A|Online||
89|CA-2019-159695|2019-04-05|2019-04-10|Second Class|GM-14455|Gary Mitchum|Home Office|United States|Houston|Texas|Central|OFF-ST-10003442|Office Supplies|Storage|Eldon Portable Mobile Manager|158.3679962158203|7|13.857199668884277|#N/A|COD||
90|CA-2019-109806|2019-09-17|2019-09-22|Standard Class|JS-15685|Jim Sink|Corporate|United States|Los Angeles|California|West|OFF-AR-10004930|Office Supplies|Art|Turquoise Lead Holder with Pocket Clip|20.100000381469727|3|6.632999897003174|#N/A|Online||
91|CA-2019-109806|2019-09-17|2019-09-22|Standard Class|JS-15685|Jim Sink|Corporate|United States|Los Angeles|California|West|TEC-PH-10004093|Technology|Phones|Panasonic Kx-TS550|73.58399963378906|2|8.278200149536133|#N/A|Online||
92|CA-2019-109806|2019-09-17|2019-09-22|Standard Class|JS-15685|Jim Sink|Corporate|United States|Los Angeles|California|West|OFF-PA-10000304|Office Supplies|Paper|Xerox 1995|6.480000019073486|1|3.1103999614715576|#N/A|Online||
96|US-2020-109484|2020-11-06|2020-11-12|Standard Class|RB-19705|Roger Barcio|Home Office|United States|Portland|Oregon|West|OFF-BI-10004738|Office Supplies|Binders|Flexible Leather- Look Classic Collection Ring Binder|82.68199920654297|1|-3.7880001068115234|#N/A|COD||
97|CA-2020-161018|2020-11-09|2020-11-11|Second Class|PN-18775|Parhena Norris|Home Office|United States|New York City|New York|East|FUR-FU-10000629|Furniture|Furnishings|9-3/4 Diameter Round Wall Clock|134.52999877929688|7|40.542598724365234|#N/A|Online||
98|CA-2020-157833|2020-06-17|2020-06-20|First Class|KD-16345|Katherine Ducich|Consumer|United States|San Francisco|California|West|OFF-BI-10001721|Office Supplies|Binders|Trimflex Flexible Post Binders|187.31199645996094|3|17.959199905395508|#N/A|Cards||
99|CA-2019-149223|2019-09-06|2019-09-11|Standard Class|ER-13855|Elpida Rittenbach|Corporate|United States|Saint Paul|Minnesota|Central|OFF-AP-10000358|Office Supplies|Appliances|Fellowes Basic Home/Office Series Surge Protectors|77.87999725341797|6|22.5851993560791|#N/A|Cards||
100|CA-2019-158568|2019-08-29|2019-09-02|Standard Class|RB-19465|Rick Bensley|Home Office|United States|Chicago|Illinois|Central|OFF-PA-10003256|Office Supplies|Paper|Avery Personal Creations Heavyweight Cards|64.6240005493164|7|22.61840057373047|#N/A|COD||
101|CA-2019-158568|2019-08-29|2019-09-02|Standard Class|RB-19465|Rick Bensley|Home Office|United States|Chicago|Illinois|Central|TEC-AC-10001767|Technology|Accessories|SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card|95.97599792480469|3|-10.797300338745117|#N/A|COD||
102|CA-2019-158568|2019-08-29|2019-09-02|Standard Class|RB-19465|Rick Bensley|Home Office|United States|Chicago|Illinois|Central|OFF-BI-10002609|Office Supplies|Binders|Avery Hidden Tab Dividers for Binding Systems|1.7879999876022339|3|-3.039599895477295|#N/A|Cards||
103|CA-2019-129903|2019-12-01|2019-12-04|Second Class|GZ-14470|Gary Zandusky|Consumer|United States|Rochester|Minnesota|Central|OFF-PA-10004040|Office Supplies|Paper|Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)|23.920000076293945|4|11.720800399780273|#N/A|Online||
107|CA-2020-119004|2020-11-23|2020-11-28|Standard Class|JM-15250|Janet Martin|Consumer|United States|Charlotte|North Carolina|South|TEC-AC-10003499|Technology|Accessories|Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive|114.11199951171875|8|17.601600646972656|#N/A|Online||
108|CA-2020-119004|2020-11-23|2020-11-28|Standard Class|JM-15250|Janet Martin|Consumer|United States|Charlotte|North Carolina|South|TEC-PH-10002844|Technology|Phones|Speck Products Candyshell Flip Case|115.99199676513672|1|2.099400043487549|#N/A|Online||
109|CA-2020-119004|2020-11-23|2020-11-28|Standard Class|JM-15250|Janet Martin|Consumer|United States|Charlotte|North Carolina|South|OFF-AR-10000390|Office Supplies|Art|Newell Chalk Holder|107.30400085449219|1|1.073799967765808|#N/A|COD||
111|CA-2020-146780|2020-12-25|2020-12-30|Standard Class|CV-12805|Cynthia Voltz|Corporate|United States|New York City|New York|East|FUR-FU-10001934|Furniture|Furnishings|Magnifier Swing Arm Lamp|329.9599914550781|2|10.909600257873535|#N/A|Online||
112|CA-2019-128867|2019-11-03|2019-11-10|Standard Class|CL-12565|Clay Ludtke|Consumer|United States|Urbandale|Iowa|Central|OFF-AR-10000380|Office Supplies|Art|Hunt PowerHouse Electric Pencil Sharpener, Blue|75.95999908447266|2|22.788000106811523|#N/A|Online||
113|CA-2019-128867|2019-11-03|2019-11-10|Standard Class|CL-12565|Clay Ludtke|Consumer|United States|Urbandale|Iowa|Central|OFF-BI-10003981|Office Supplies|Binders|"Avery Durable Plastic 1"" Binders"|27.239999771118164|6|13.347599983215332|#N/A|Online||
120|CA-2019-103730|2019-06-12|2019-06-15|First Class|SC-20725|Steven Cartwright|Consumer|United States|Wilmington|Delaware|East|FUR-FU-10002157|Furniture|Furnishings|Artistic Insta-Plaque|47.040000915527344|3|18.345600128173828|#N/A|Online||
121|CA-2019-103730|2019-06-12|2019-06-15|First Class|SC-20725|Steven Cartwright|Consumer|United States|Wilmington|Delaware|East|OFF-BI-10003910|Office Supplies|Binders|DXL Angle-View Binders with Locking Rings by Samsill|30.84000015258789|4|13.878000259399414|#N/A|Online||
122|CA-2019-103730|2019-06-12|2019-06-15|First Class|SC-20725|Steven Cartwright|Consumer|United States|Wilmington|Delaware|East|OFF-ST-10000777|Office Supplies|Storage|Companion Letter/Legal File, Black|226.55999755859375|6|63.436798095703125|#N/A|Online||
123|CA-2019-103730|2019-06-12|2019-06-15|First Class|SC-20725|Steven Cartwright|Consumer|United States|Wilmington|Delaware|East|OFF-EN-10002500|Office Supplies|Envelopes|Globe Weis Peel & Seel First Class Envelopes|115.0199966430664|9|51.75899887084961|#N/A|COD||
124|CA-2019-103730|2019-06-12|2019-06-15|First Class|SC-20725|Steven Cartwright|Consumer|United States|Wilmington|Delaware|East|TEC-PH-10003875|Technology|Phones|KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7|68.04000091552734|7|19.731599807739258|#N/A|Online||
127|US-2020-107272|2020-11-05|2020-11-12|Standard Class|TS-21610|Troy Staebel|Consumer|United States|Phoenix|Arizona|West|OFF-BI-10003274|Office Supplies|Binders|Avery Durable Slant Ring Binders, No Labels|81.38800048828125|2|-1.8308000564575195|#N/A|COD||
128|US-2020-107272|2020-11-05|2020-11-12|Standard Class|TS-21610|Troy Staebel|Consumer|United States|Phoenix|Arizona|West|OFF-ST-10002974|Office Supplies|Storage|Trav-L-File Heavy-Duty Shuttle II, Black|253.99200439453125|7|30.499000549316406|#N/A|COD||
129|US-2019-125969|2019-11-06|2019-11-10|Second Class|LS-16975|Lindsay Shagiari|Home Office|United States|Los Angeles|California|West|FUR-CH-10001146|Furniture|Chairs|Global Task Chair, Black|81.42400360107422|2|-9.160200119018555|#N/A|Cards||
130|US-2019-125969|2019-11-06|2019-11-10|Second Class|LS-16975|Lindsay Shagiari|Home Office|United States|Los Angeles|California|West|FUR-FU-10003773|Furniture|Furnishings|Eldon Cleatmat Plus Chair Mats for High Pile Carpets|238.55999755859375|3|26.241600036621094|#N/A|Cards||
131|US-2020-164147|2020-02-02|2020-02-05|First Class|DW-13585|Dorothy Wardle|Corporate|United States|Columbus|Ohio|East|TEC-PH-10002293|Technology|Phones|Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5|100.97000122070312|5|-11.994000434875488|#N/A|Cards||
132|US-2020-164147|2020-02-02|2020-02-05|First Class|DW-13585|Dorothy Wardle|Corporate|United States|Columbus|Ohio|East|OFF-PA-10002377|Office Supplies|Paper|Xerox 1916|2109.303955078125|2|29.36400032043457|#N/A|Online||
133|US-2020-164147|2020-02-02|2020-02-05|First Class|DW-13585|Dorothy Wardle|Corporate|United States|Columbus|Ohio|East|OFF-FA-10002780|Office Supplies|Fasteners|Staples|110.45600128173828|9|6.973199844360352|#N/A|Cards||
134|CA-2019-145583|2019-10-13|2019-10-19|Standard Class|LC-16885|Lena Creighton|Consumer|United States|Roseville|California|West|OFF-PA-10001804|Office Supplies|Paper|Xerox 195|20.040000915527344|3|9.619199752807617|#N/A|COD||
135|CA-2019-145583|2019-10-13|2019-10-19|Standard Class|LC-16885|Lena Creighton|Consumer|United States|Roseville|California|West|OFF-PA-10001736|Office Supplies|Paper|Xerox 1880|35.439998626708984|1|16.65679931640625|#N/A|Online||
136|CA-2019-145583|2019-10-13|2019-10-19|Standard Class|LC-16885|Lena Creighton|Consumer|United States|Roseville|California|West|OFF-AR-10001149|Office Supplies|Art|Sanford Colorific Colored Pencils, 12/Box|11.520000457763672|4|3.4560000896453857|#N/A|COD||
137|CA-2019-145583|2019-10-13|2019-10-19|Standard Class|LC-16885|Lena Creighton|Consumer|United States|Roseville|California|West|OFF-FA-10002988|Office Supplies|Fasteners|Ideal Clamps|4.019999980926514|2|1.9697999954223633|#N/A|Online||
138|CA-2019-145583|2019-10-13|2019-10-19|Standard Class|LC-16885|Lena Creighton|Consumer|United States|Roseville|California|West|OFF-BI-10004781|Office Supplies|Binders|GBC Wire Binding Strips|76.1760025024414|3|26.66160011291504|#N/A|Online||
139|CA-2019-145583|2019-10-13|2019-10-19|Standard Class|LC-16885|Lena Creighton|Consumer|United States|Roseville|California|West|OFF-SU-10001218|Office Supplies|Supplies|Fiskars Softgrip Scissors|65.87999725341797|6|18.446399688720703|#N/A|Online||
